"Date","Tickers"
"2011-05-03","MCPIQ ACUR PTIE PFE GS ORCL IPCI AA RIO RHHBY NVS VVUS SNAK VCISY VCISF ABRTY CAKFY CAKFF FSLR DISH SIRI LMCA CVX TZOO SLV AG EXK GTXI MU MSFT OZRK POT TINY AAPL"
"2011-05-02","LXK SPOK DORM IWM CVX TECH AOL CPST MX ON FCS COP EVLV TLON IL NRG DNDN AVNR SPWR TOT"
"2011-05-01","SYNA INTC SPPI SIRI AAPL AMZN GDEN ATHX"
"2011-05-09","RMTI DVA XTNT EOG CHK BP GLW CSCO RSH KOL WLT ARCH ERI GG WLL"
"2011-05-08","BRCD JNPR CSCO MON MOS SQNM OPST EQIX KERX CERPQ DUSA WRLS"
"2014-11-14","KNDI AMAT TSLA AKG RGLD GOOG GOOGL APA BRKA PG BRKB AAPL MU IHG AMZN MGI ATVI YHOO CSCO WLT FCZA SBUX CSNVY DVN DAL AMOT FTK BBRY BKYI FNFG INTC AMD INVU ICGQF WRES AMZG WFM VNCE AKS AXAS LONE MDSMF SODA MDLZ MNK DPZ FDX UPS EPD TWTR RMTI ABX ZU CRDS REGN MATN EOG BDREF GEVO MSFT GIGM AGN VRX ZTS SNI PLPM FB F DWA M KN ECA XPLT PERY GPT NSC ABBV HAL FRBK FOSL"
"2014-11-15","MCD EOG INVN AAPL VOD TWTR GOOG GOOGL ADS CSX SAVE SSNLF ESV AL WDC DIS INTC BBRY DAR ACHI AMZN ORXPF YUM PKG F HZNP ODP TSEM RGSE HMHC VEC CZR JKHY RHHBY DOX MTD RNR DQ CMCSA SZMK RYN CVEO SPWR"
"2014-11-16","SPWR BABA GLGDF ZNGA IBN SAND VER WFSTF WFM COH MTN MDLZ WMT BIOA QLGC LYB SWIR F BAC"
"2014-11-17","HTZ NFLX AAPL CSCO IBM T CVC FB AMD RCI BBRY CHA TWO SIRI MDLY KNDI BTUUQ CRR RTRAF RNDY SAP EV CODI LRTNF TRMK GLW MOH EQT CHEF SHSP HD GILD NTES GE RBYCF BTX DDD SSYS MTLS BAC DXCM HAL CLDX NEM GSS PSDNF MMYT CMI GPC SWI GOOGL GOOG HNH PPP OGZPY STADF SRCL NOK VER MCD WY SPWR"
"2014-11-10","BABA BBRY ING MKL VMC GNW GG GIII EXXIQ OCANF RNDY SLM C DAL RIG DRLDF FURGF RGC LAZ AAU COT AIZ BHP FB BA WIX GILD MSFT QSII TAPM NUSMF JCP CECO ETAK FCEL APD K KGC PCL VJET ADM PDS FAST USGIF USAPF ZINCQ GE ORIG DEO HA AMRN IVZ AAPL"
